Bodyweight,Estimated_Peak_Dots,CI_Lower,CI_Upper,Valid_Iterations
45.541288888888886,374.94882139260136,362.07044861424924,387.97871837238665,100
46.235852950136284,376.0415267775481,364.3173755940775,388.01470859037715,100
46.930417011383675,377.1342321624945,366.56430257390565,388.06162116152296,100
47.62498107263107,378.2267543055875,368.6457351189608,388.1214754777474,100
48.319545133878464,379.31589211768704,370.9674125389584,388.3729964653364,100
49.01410919512586,380.39200097611274,372.92241260787716,388.63460558684375,100
49.70867325637325,381.44325923791433,374.5216779557536,388.7243187641435,100
50.40323731762065,382.45765720255577,375.79871373003675,389.0960925283624,100
51.09780137886804,383.42316551760445,377.15340947912205,389.7752522482175,100
51.79236544011544,384.32775483062835,378.36449715966785,390.8451978592095,100
52.48692950136283,385.1593957891951,379.00329679053834,391.47073235264196,100
53.18149356261023,385.90605904087283,379.5317642718334,392.24757715257556,100
53.87605762385762,386.55571523322897,379.4162923145771,392.990464450078,100
54.57062168510502,387.09633501383155,379.3278370586217,393.631082521605,100
55.265185746352415,387.51588903024805,379.2924280471296,394.29865725270815,100
55.959749807599806,387.80234809316676,379.375152376382,394.6490538158526,100
56.6543138688472,387.9456444435767,379.4780755803505,394.6762911538484,100
57.348877930094595,387.9505681686367,379.59776156629886,394.4098541759965,100
58.04344199134199,387.8300188943586,379.72781391610545,394.0267564808776,100
58.738006052589384,387.5970551640823,379.8798828852001,393.70185683028313,100
59.432570113836775,387.26473552114817,380.3002482312754,393.125234393281,100
60.12713417508417,386.84611850889587,380.73306704163497,392.31056470850285,100
60.82169823633157,386.35426267066606,381.1621283350232,391.3401608065128,100
61.51626229757896,385.8022265497982,381.13394835071534,390.4694725271829,100
62.21082635882636,385.20306868963286,380.68098740491877,389.9905611001455,100
62.90539042007376,384.5698293224609,380.2804022398308,389.44160553915276,100
63.59995448132115,383.9147466275297,380.0746631284014,388.58010097030063,100
64.29451854256854,383.2489570585209,379.29998397861806,387.87297229081065,100
64.98908260381594,382.5835162585416,378.12537250576196,387.15920655233515,100
65.68364666506334,381.9292399267907,377.04941112203494,386.4780517957257,100
66.37821072631073,381.295213818569,376.27391320662775,385.8924754876771,100
67.07277478755812,380.6858968888835,375.6101225819943,385.36788364736486,100
67.76733884880551,380.0998333982528,375.04726485233095,384.83336056636085,100
68.46190291005291,379.5345862890998,374.56431052118234,384.290314476302,100
69.1564669713003,378.9877130468292,373.99863595407726,383.66034165312107,100
69.8510310325477,378.45677115684526,373.4906280547061,382.95017652598756,100
