Name,WeightClass_Bin,Avg_Bodyweight,Start_Age,Career_Start_Age,Career_Start_Year_Normalized,Prior_Competition_Count,Career_WeightClass_Change_Count,IPFCategory,Continent,Initial_Speed,Maturation_Slope,Peak_Dots,Days_to_Peak,Peak_Age,Split_Day,Is_Origin_Included,Initial_Phase_Change_Count,Peak_Phase_Change_Count,Continent_Group,IPFCategory_Non-IPF,Continent_Asia_Oceania,Continent_Europe_Africa,Continent_Other
Ylli Mujaj,120-160,124.11333333333333,35.5,31.0,27.0,5.0,2.0,IPF,North America,24.689862458374446,20.741623828063233,474.9919016808741,2216.0,41.57123287671233,1796.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Yoann Demy,60-67.5,65.608,19.0,17.0,27.0,4.0,0.0,IPF,Europe,35.03558957228671,20.09240997233257,388.96313765525286,1665.0,23.561643835616437,915.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Yoann Henry,83-93,90.9265,28.0,28.0,27.0,0.0,0.0,IPF,Europe,4.413856353752313,3.5453217417878293,331.33899400910514,2790.0,35.64383561643836,360.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Yohann Savinsky,83-93,89.24888888888889,18.0,18.0,25.0,0.0,1.0,IPF,North America,185.2025979262674,58.116346502279406,464.6212969366447,630.0,19.726027397260275,60.0,True,0,0,Americas,0.0,0.0,0.0,0.0
Yoichi Sasaki,93-105,94.17285714285715,45.0,45.0,31.0,0.0,1.0,IPF,Asia,13.214351851852166,5.1410238899595235,355.2329209449154,510.0,46.397260273972606,90.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Yoshihiro Higa,67.5-75,73.64900000000002,23.5,23.5,25.0,0.0,0.0,IPF,Asia,11.457155346814275,3.377716443830706,520.5794402051015,1170.0,26.705479452054796,690.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Yoshiyuki Miyamoto,105-120,116.21666666666665,37.5,37.5,26.0,0.0,1.0,IPF,Asia,23.645918115851767,,393.4,0.0,37.5,930.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Youngho Kim,67.5-75,74.59,29.5,29.5,32.0,0.0,1.0,IPF,Asia,77.52345214889063,7.809301808266124,442.8285686739365,510.0,30.897260273972602,120.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Yu Utsugi,67.5-75,73.72500000000001,23.5,23.5,28.0,0.0,0.0,IPF,Asia,14.38687425876189,,534.4722983231663,1920.0,28.76027397260274,1860.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Yue Sun,67.5-75,73.72,22.5,22.5,22.0,0.0,0.0,IPF,Oceania,40.201552000249976,17.866939566959726,444.16727125372137,1740.0,27.267123287671232,300.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Yuki Fukushima,75-83,81.65555555555557,28.5,28.5,25.0,0.0,0.0,IPF,Asia,19.88671957071698,2.715405655603363,452.2541613454447,1230.0,31.86986301369863,270.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Yuki Kashima,60-67.5,65.69333333333333,21.0,21.0,28.0,0.0,1.0,IPF,Oceania,43.24056746742509,13.340211192499929,496.2717471921211,2400.0,27.575342465753423,1050.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Yuki Shibuya,67.5-75,73.12299999999999,27.0,27.0,22.0,0.0,2.0,IPF,Asia,9.652348739028534,5.294318736943303,492.26875592329066,4020.0,38.013698630136986,1350.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Yulong Li #1,83-93,90.53363636363636,19.0,18.0,28.0,5.0,1.0,IPF,Europe,18.384060028746507,12.067198855162593,519.5982162834587,1739.0,23.764383561643836,539.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Yuriy Burkunov,93-105,103.65833333333332,23.5,23.5,23.0,0.0,2.0,IPF,Europe,23.40776528642576,9.356625124291002,430.9690795040917,1080.0,26.458904109589042,900.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Yuriy Nepovinnykh,50-60,58.15642857142857,46.5,46.5,22.0,0.0,0.0,IPF,Europe,22.205997750254884,8.710019482391642,401.7625280750538,1110.0,49.54109589041096,810.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Yusuke Inoue,60-67.5,65.6275,30.5,30.5,22.0,0.0,0.0,IPF,Asia,8.96225254499468,1.6192761766706738,508.1493947192697,3480.0,40.034246575342465,1500.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
