Name,WeightClass_Bin,Avg_Bodyweight,Start_Age,Career_Start_Age,Career_Start_Year_Normalized,Prior_Competition_Count,Career_WeightClass_Change_Count,IPFCategory,Continent,Initial_Speed,Maturation_Slope,Peak_Dots,Days_to_Peak,Peak_Age,Split_Day,Is_Origin_Included,Initial_Phase_Change_Count,Peak_Phase_Change_Count,Continent_Group,IPFCategory_Non-IPF,Continent_Asia_Oceania,Continent_Europe_Africa,Continent_Other
Gail Moore,69-76,70.79666666666668,66.0,66.0,18.0,0.0,0.0,IPF,North America,0.625918548100926,4.70650754391908,302.63622725197644,990.0,68.71232876712328,270.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Geina McGrath,57-63,61.626666666666665,25.0,24.0,19.0,1.0,1.0,IPF,Europe,22.113996495323356,12.676878521479512,435.33032154030565,2665.0,32.3013698630137,1435.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Gemma Gibson,63-69,66.42083333333333,31.5,31.5,20.0,0.0,1.0,IPF,Europe,30.187545335222524,13.757226158683554,412.96819122227015,2400.0,38.07534246575342,750.0,False,1,1,Europe_Africa,0.0,0.0,1.0,0.0
Gena Doyle,84-100,95.31666666666668,40.5,40.5,18.0,0.0,0.0,IPF,North America,16.873923593873698,6.529136905511595,278.3788699865265,810.0,42.71917808219178,150.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Genevieve Grant,76-84,82.09,46.5,46.5,17.0,0.0,0.0,IPF,North America,88.58672668439408,33.650719809262604,348.852319660387,900.0,48.965753424657535,90.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Geri-Lyn Hoffman,57-63,59.339999999999996,57.0,55.0,25.0,1.0,1.0,Non-IPF,North America,31.915117895455086,10.824024088710257,232.39186070850792,1150.0,60.15068493150685,940.0,False,0,0,Americas,1.0,0.0,0.0,0.0
Giedrė Vidžiūnienė,69-76,72.85363636363637,50.5,50.5,21.0,0.0,1.0,IPF,Other/Unknown,22.203918486512542,7.437991211995637,307.7428299170242,1980.0,55.92465753424658,510.0,False,0,0,Other,0.0,0.0,0.0,1.0
Gigi Nicolson,40-52,46.653333333333336,19.0,19.0,23.0,0.0,0.0,IPF,Europe,24.289444250521296,14.617819030750038,406.1411866597576,2070.0,24.671232876712327,930.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Gina Bakke Bolstad,57-63,62.465714285714284,28.5,24.5,20.0,6.0,3.0,IPF,Europe,13.65666784300433,6.581617998114016,461.99090718793104,1920.0,33.76027397260274,1620.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Gina Craig,57-63,62.1,53.5,53.5,21.0,0.0,1.0,IPF,North America,29.21827998128011,7.691094787187722,270.8820620341989,750.0,55.554794520547944,540.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Gina Martino Trubits,84-100,89.30250000000001,50.5,50.5,21.0,0.0,1.0,IPF,North America,113.41263820707256,16.11639162692402,291.4575199198774,1770.0,55.34931506849315,420.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Giovanna Ortega,57-63,60.725,18.5,18.5,17.0,0.0,0.0,IPF,North America,23.46144273977399,10.552589621149853,397.14944493793803,1980.0,23.924657534246577,600.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Glenda Brown,69-76,71.69833333333334,43.5,43.5,21.0,0.0,1.0,IPF,North America,55.27604495244077,15.282403466833284,322.6208339905879,750.0,45.554794520547944,390.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Glenda MacDonald,69-76,71.27777777777777,46.0,46.0,20.0,0.0,3.0,IPF,North America,51.58626522892878,14.466863760628442,320.12439456908703,1020.0,48.794520547945204,750.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Glenda Presutti,57-63,60.94882352941177,56.5,56.5,17.0,0.0,1.0,IPF,Oceania,20.510410721591743,10.21257049384038,358.52455406762255,600.0,58.14383561643836,450.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Gloria Fitzpatrick,69-76,70.88181818181819,55.0,55.0,19.0,0.0,0.0,IPF,Europe,29.82703251070678,8.962119809720244,316.8853486695072,1620.0,59.43835616438356,210.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Grace Babb,63-69,64.98333333333333,24.0,24.0,21.0,0.0,0.0,IPF,Other/Unknown,181.97102616864134,,344.72806407284713,270.0,24.73972602739726,210.0,False,0,0,Other,0.0,0.0,0.0,1.0
Grace Stilgoe,57-63,62.12,27.5,27.5,21.0,0.0,1.0,IPF,Europe,41.74283709397834,12.125950924949532,466.34621024560886,1410.0,31.363013698630137,1050.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Gracelynn Doogan,76-84,81.64,20.5,19.5,20.0,2.0,1.0,IPF,North America,5.619067496340086,,409.75323372093,727.0,22.491780821917807,667.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Gretchen Beers,52-57,54.8,79.0,79.0,24.0,0.0,0.0,Non-IPF,North America,1.857677205802361,1.1374849967498903,207.82341679356966,600.0,80.64383561643835,420.0,False,0,0,Americas,1.0,0.0,0.0,0.0
Gro-Berit Stavheim,69-76,72.46736842105264,48.0,48.0,16.0,0.0,2.0,IPF,Europe,13.272807178913522,4.440453374949869,337.1401169100643,1920.0,53.26027397260274,1110.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Gréta Lakatos,52-57,56.59,30.5,30.5,25.0,0.0,0.0,IPF,Europe,37.746062702381245,23.853473656895797,424.0315100446302,1170.0,33.705479452054796,480.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Guadalupe Cabral,52-57,55.95833333333334,24.5,20.5,22.0,4.0,1.0,IPF,South America,33.31721801259251,7.611084364404255,438.0088523763001,1822.0,29.491780821917807,1522.0,False,0,0,Americas,0.0,0.0,0.0,0.0
